date,open,high,low,volume,name,daily_return_in_perc,rsi,obv,close
08-02-2013,67.7142,68.4014,66.8928,158168416,AAPL,0,0,0,67.8542
11-02-2013,68.0714,69.2771,67.6071,129029425,AAPL,1.042234674,0,129029425,68.5614
12-02-2013,68.5014,68.9114,66.8205,151829363,AAPL,-2.506658265,0,-22799938,66.8428
13-02-2013,66.7442,67.6628,66.1742,118721995,AAPL,-0.190297235,0,-141521933,66.7156
14-02-2013,66.3599,67.3771,66.2885,88809154,AAPL,-0.089933988,0,-230331087,66.6556
15-02-2013,66.9785,67.1656,65.7028,97924631,AAPL,-1.377978744,0,-328255718,65.7371
19-02-2013,65.8714,66.1042,64.8356,108854046,AAPL,-0.036965427,0,-437109764,65.7128
20-02-2013,65.3842,65.3842,64.1142,118891367,AAPL,-2.421750405,0,-556001131,64.1214
21-02-2013,63.7142,64.1671,63.2599,111596821,AAPL,-0.621633339,0,-667597952,63.7228
22-02-2013,64.1785,64.5142,63.7999,82583823,AAPL,1.064924956,0,-585014129,64.4014
25-02-2013,64.8356,65.0171,63.2242,92899597,AAPL,-1.776824727,0,-677913726,63.2571
26-02-2013,63.4028,64.5056,62.5228,125096657,AAPL,1.393361378,0,-552817069,64.1385
27-02-2013,64.0614,64.6342,62.9499,146674682,AAPL,-0.980066575,0,-699491751,63.5099
28-02-2013,63.4357,63.9814,63.0571,80532382,AAPL,-0.712959712,0,-780024133,63.0571
01-03-2013,62.5714,62.5971,61.4257,137899041,AAPL,-2.476168425,20.81355745,-917923174,61.4957
04-03-2013,61.1142,61.1714,59.8571,145406366,AAPL,-2.420657054,13.36268556,-1063329540,60.0071
05-03-2013,60.2114,62.1699,60.1071,159298020,AAPL,2.641020813,27.25011915,-904031520,61.5919
06-03-2013,62.0728,62.1785,60.6328,114903180,AAPL,-1.271433419,25.78465777,-1018934700,60.8088
07-03-2013,60.6428,61.7157,60.1514,116992841,AAPL,1.155918222,29.96814468,-901941859,61.5117
08-03-2013,61.3999,62.2042,61.2299,97854442,AAPL,0.264177384,33.18795362,-804087417,61.6742
11-03-2013,61.3928,62.7157,60.7342,118272126,AAPL,1.424582727,37.78753401,-685815291,62.5528
12-03-2013,62.2285,62.6971,61.0814,116268341,AAPL,-2.155938663,38.51025617,-802083632,61.2042
13-03-2013,61.2071,62.0714,60.7657,101369051,AAPL,-0.018626173,39.72179791,-903452683,61.1928
14-03-2013,61.8328,62.0914,61.4928,75834906,AAPL,0.968904838,39.29912698,-827617777,61.7857
15-03-2013,62.5614,63.4614,62.4642,160710606,AAPL,2.580208689,50.48454048,-666907171,63.3799
18-03-2013,63.0642,65.3514,63.0285,150441144,AAPL,2.718369704,53.56796637,-516466027,65.1028
